pid,ing_avg,outg_avg,ing_c,outg_c,ID_c,cond,story,group,storynum,resptype,rating
11,55.66666667,48.66666667,-16.24257425,5.521452147,-21.4367816,neutral,neg,outgrp,4,howbad,0.57
11,55.66666667,48.66666667,-16.24257425,5.521452147,-21.4367816,neutral,neg,outgrp,5,howbad,1
11,55.66666667,48.66666667,-16.24257425,5.521452147,-21.4367816,neutral,neg,ingrp,6,howbad,0.87
11,55.66666667,48.66666667,-16.24257425,5.521452147,-21.4367816,neutral,neg,ingrp,7,howbad,0.86
11,55.66666667,48.66666667,-16.24257425,5.521452147,-21.4367816,neutral,neg,outgrp,8,howbad,0.84
11,55.66666667,48.66666667,-16.24257425,5.521452147,-21.4367816,neutral,pos,ingrp,9,howbad,0.12
11,55.66666667,48.66666667,-16.24257425,5.521452147,-21.4367816,neutral,pos,ingrp,10,howbad,0.37
11,55.66666667,48.66666667,-16.24257425,5.521452147,-21.4367816,neutral,pos,outgrp,11,howbad,0.19
11,55.66666667,48.66666667,-16.24257425,5.521452147,-21.4367816,neutral,pos,outgrp,12,howbad,0.18
11,55.66666667,48.66666667,-16.24257425,5.521452147,-21.4367816,neutral,pos,ingrp,13,howbad,0.14
11,55.66666667,48.66666667,-16.24257425,5.521452147,-21.4367816,neutral,pos,outgrp,14,howbad,0.12
11,55.66666667,48.66666667,-16.24257425,5.521452147,-21.4367816,neutral,pos,outgrp,15,howbad,0.16
11,55.66666667,48.66666667,-16.24257425,5.521452147,-21.4367816,neutral,pos,ingrp,16,howbad,0.18
12,31.33333333,22,-40.57590759,-21.14521452,-19.10344827,compete,neg,outgrp,1,howbad,0.54
12,31.33333333,22,-40.57590759,-21.14521452,-19.10344827,compete,neg,outgrp,2,howbad,0.57
12,31.33333333,22,-40.57590759,-21.14521452,-19.10344827,compete,neg,outgrp,3,howbad,0.64
12,31.33333333,22,-40.57590759,-21.14521452,-19.10344827,compete,neg,outgrp,4,howbad,0.65
12,31.33333333,22,-40.57590759,-21.14521452,-19.10344827,compete,neg,ingrp,5,howbad,0.63
12,31.33333333,22,-40.57590759,-21.14521452,-19.10344827,compete,neg,ingrp,6,howbad,0.69
12,31.33333333,22,-40.57590759,-21.14521452,-19.10344827,compete,neg,ingrp,7,howbad,0.7
12,31.33333333,22,-40.57590759,-21.14521452,-19.10344827,compete,neg,ingrp,8,howbad,0.69
12,31.33333333,22,-40.57590759,-21.14521452,-19.10344827,compete,pos,ingrp,9,howbad,0
12,31.33333333,22,-40.57590759,-21.14521452,-19.10344827,compete,pos,ingrp,10,howbad,0
12,31.33333333,22,-40.57590759,-21.14521452,-19.10344827,compete,pos,outgrp,11,howbad,0.05
12,31.33333333,22,-40.57590759,-21.14521452,-19.10344827,compete,pos,outgrp,12,howbad,0.15
12,31.33333333,22,-40.57590759,-21.14521452,-19.10344827,compete,pos,outgrp,13,howbad,0
12,31.33333333,22,-40.57590759,-21.14521452,-19.10344827,compete,pos,ingrp,14,howbad,0
12,31.33333333,22,-40.57590759,-21.14521452,-19.10344827,compete,pos,outgrp,15,howbad,0
12,31.33333333,22,-40.57590759,-21.14521452,-19.10344827,compete,pos,ingrp,16,howbad,0.01
14,74,48,2.09075908,4.85478548,-2.4367816,neutral,neg,outgrp,1,howbad,0.57
14,74,48,2.09075908,4.85478548,-2.4367816,neutral,neg,outgrp,2,howbad,0.57
14,74,48,2.09075908,4.85478548,-2.4367816,neutral,neg,ingrp,3,howbad,0.74
