ISSN,journal,DOI,year,citations,impact_factor_rank,category
0922-4777,Reading and Writing,10.1007/s11145-020-10117-2,2021,16,407,"PSYCHOLOGY, EDUCATIONAL"
0020-4277,Instructional Science,10.1007/s11251-020-09529-y,2021,4,225,"PSYCHOLOGY, EDUCATIONAL"
1046-1310,Current Psychology,10.1007/s12144-020-01238-6,2022,3,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01248-4,2022,13,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01277-z,2022,1,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01284-0,2022,6,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01288-w,2022,16,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01292-0,2021,19,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01293-z,2022,1,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01300-3,2022,2,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01301-2,2022,1,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01307-w,2022,37,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01309-8,2022,5,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01318-7,2022,74,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01323-w,2022,3,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
