file,n_articles,citations_total
../data/raw/10347.jsonl.gz,37,433
../data/raw/10348.jsonl.gz,22,246
../data/raw/10349.jsonl.gz,27,360
../data/raw/1035.jsonl.gz,0,0
../data/raw/10350.jsonl.gz,37,504
../data/raw/10351.jsonl.gz,16,307
../data/raw/10352.jsonl.gz,36,282
../data/raw/10353.jsonl.gz,22,250
../data/raw/10354.jsonl.gz,16,439
../data/raw/10355.jsonl.gz,25,185
../data/raw/10356.jsonl.gz,26,205
../data/raw/10357.jsonl.gz,23,241
../data/raw/10358.jsonl.gz,9,159
../data/raw/10359.jsonl.gz,5,35
../data/raw/1036.jsonl.gz,0,0
../data/raw/10360.jsonl.gz,18,257
../data/raw/10361.jsonl.gz,16,180
../data/raw/10362.jsonl.gz,5,35
../data/raw/10363.jsonl.gz,6,159
../data/raw/10364.jsonl.gz,4,19
../data/raw/10365.jsonl.gz,20,365
../data/raw/10366.jsonl.gz,26,513
../data/raw/10367.jsonl.gz,21,210
../data/raw/10368.jsonl.gz,16,33
../data/raw/10369.jsonl.gz,23,155
../data/raw/1037.jsonl.gz,0,0
../data/raw/10370.jsonl.gz,20,166
../data/raw/10371.jsonl.gz,35,446
../data/raw/10372.jsonl.gz,31,1222
../data/raw/10373.jsonl.gz,38,252
../data/raw/10374.jsonl.gz,30,244
../data/raw/10375.jsonl.gz,30,322
../data/raw/10376.jsonl.gz,41,1000
../data/raw/10377.jsonl.gz,34,401
../data/raw/10378.jsonl.gz,34,289
../data/raw/10379.jsonl.gz,23,249
../data/raw/1038.jsonl.gz,0,0
../data/raw/10380.jsonl.gz,37,282
../data/raw/10381.jsonl.gz,14,138
../data/raw/10382.jsonl.gz,16,223
../data/raw/10383.jsonl.gz,26,160
../data/raw/10384.jsonl.gz,26,400
../data/raw/10385.jsonl.gz,24,403
../data/raw/10386.jsonl.gz,19,311
../data/raw/10387.jsonl.gz,13,107
../data/raw/10388.jsonl.gz,43,574
../data/raw/10389.jsonl.gz,32,367
../data/raw/1039.jsonl.gz,0,0
../data/raw/10390.jsonl.gz,16,124
../data/raw/10391.jsonl.gz,30,181
../data/raw/10392.jsonl.gz,25,164
../data/raw/10393.jsonl.gz,17,142
../data/raw/10394.jsonl.gz,5,66
../data/raw/10395.jsonl.gz,11,163
../data/raw/10396.jsonl.gz,18,80
../data/raw/10397.jsonl.gz,32,382
../data/raw/10398.jsonl.gz,21,149
../data/raw/10399.jsonl.gz,26,374
../data/raw/104.jsonl.gz,21,0
../data/raw/1040.jsonl.gz,0,0
../data/raw/10400.jsonl.gz,21,328
../data/raw/10401.jsonl.gz,35,604
../data/raw/10402.jsonl.gz,56,746
../data/raw/10403.jsonl.gz,13,68
../data/raw/10404.jsonl.gz,29,220
../data/raw/10405.jsonl.gz,61,872
../data/raw/10406.jsonl.gz,43,521
../data/raw/10407.jsonl.gz,24,156
../data/raw/10408.jsonl.gz,27,176
../data/raw/10409.jsonl.gz,27,254
../data/raw/1041.jsonl.gz,0,0
../data/raw/10410.jsonl.gz,59,646
../data/raw/10411.jsonl.gz,36,301
../data/raw/10412.jsonl.gz,12,114
../data/raw/10413.jsonl.gz,24,130
../data/raw/10414.jsonl.gz,39,747
../data/raw/10415.jsonl.gz,28,129
../data/raw/10416.jsonl.gz,22,288
../data/raw/10417.jsonl.gz,13,206
../data/raw/10418.jsonl.gz,25,277
../data/raw/10419.jsonl.gz,28,452
../data/raw/1042.jsonl.gz,0,0
../data/raw/10420.jsonl.gz,13,227
