Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected JIF Quartile: Q3;Q4 Indicator: Default,,,
,,,
Journal name,ISSN,eISSN,Category
JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,0005-7916,1873-7943,"PSYCHOLOGY, CLINICAL"
Health Psychology Open,N/A,2055-1029,"PSYCHOLOGY, CLINICAL"
Self and Identity,1529-8868,1529-8876,"PSYCHOLOGY, SOCIAL"
JOURNAL OF GENETIC PSYCHOLOGY,0022-1325,1940-0896,PSYCHOLOGY
JOURNAL OF GENETIC PSYCHOLOGY,0022-1325,1940-0896,"PSYCHOLOGY, DEVELOPMENTAL"
LEARNING AND MOTIVATION,0023-9690,1095-9122,"PSYCHOLOGY, BIOLOGICAL"
LEARNING AND MOTIVATION,0023-9690,1095-9122,"PSYCHOLOGY, EXPERIMENTAL"
Cognitive Processing,1612-4782,1612-4790,"PSYCHOLOGY, EXPERIMENTAL"
Social Neuroscience,1747-0919,1747-0927,PSYCHOLOGY
Psychology of Music,0305-7356,1741-3087,"PSYCHOLOGY, APPLIED"
Psychology of Music,0305-7356,1741-3087,"PSYCHOLOGY, EDUCATIONAL"
Psychology of Music,0305-7356,1741-3087,"PSYCHOLOGY, EXPERIMENTAL"
JOURNAL OF PSYCHOLINGUISTIC RESEARCH,0090-6905,1573-6555,"PSYCHOLOGY, EXPERIMENTAL"
Language Cognition and Neuroscience,2327-3798,2327-3801,"PSYCHOLOGY, EXPERIMENTAL"
Counselling Psychology Quarterly,0951-5070,1469-3674,"PSYCHOLOGY, APPLIED"
Research in Psychotherapy-Psychopathology Process and Outcome,2239-8031,2239-8031,"PSYCHOLOGY, CLINICAL"
Social Justice Research,0885-7466,1573-6725,"PSYCHOLOGY, SOCIAL"
Journal of Aggression Maltreatment & Trauma,1092-6771,1545-083X,"PSYCHOLOGY, CLINICAL"
Journal of Child and Family Studies,1062-1024,1573-2843,"PSYCHOLOGY, DEVELOPMENTAL"
HUMAN MOVEMENT SCIENCE,0167-9457,1872-7646,PSYCHOLOGY
HUMAN MOVEMENT SCIENCE,0167-9457,1872-7646,"PSYCHOLOGY, EXPERIMENTAL"
Journal of Cognition and Development,1524-8372,1532-7647,"PSYCHOLOGY, DEVELOPMENTAL"
Journal of Cognition and Development,1524-8372,1532-7647,"PSYCHOLOGY, EXPERIMENTAL"
JOURNAL OF EMPLOYMENT COUNSELING,0022-0787,2161-1920,"PSYCHOLOGY, APPLIED"
SOCIAL DEVELOPMENT,0961-205X,1467-9507,"PSYCHOLOGY, DEVELOPMENTAL"
SPORT PSYCHOLOGIST,0888-4781,1543-2793,PSYCHOLOGY
SPORT PSYCHOLOGIST,0888-4781,1543-2793,"PSYCHOLOGY, APPLIED"
AGING NEUROPSYCHOLOGY AND COGNITION,1382-5585,1744-4128,"PSYCHOLOGY, DEVELOPMENTAL"
AGING NEUROPSYCHOLOGY AND COGNITION,1382-5585,1744-4128,"PSYCHOLOGY, EXPERIMENTAL"
JOURNAL OF CLINICAL PSYCHOLOGY IN MEDICAL SETTINGS,1068-9583,1573-3572,"PSYCHOLOGY, CLINICAL"
Occupational Health Science,2367-0134,2367-0142,"PSYCHOLOGY, APPLIED"
Spatial Cognition and Computation,1387-5868,1542-7633,"PSYCHOLOGY, EXPERIMENTAL"
PERCEPTION,0301-0066,1468-4233,PSYCHOLOGY
PERCEPTION,0301-0066,1468-4233,"PSYCHOLOGY, EXPERIMENTAL"
DEVELOPMENTAL NEUROPSYCHOLOGY,8756-5641,1532-6942,PSYCHOLOGY
DEVELOPMENTAL NEUROPSYCHOLOGY,8756-5641,1532-6942,"PSYCHOLOGY, DEVELOPMENTAL"
DEVELOPMENTAL NEUROPSYCHOLOGY,8756-5641,1532-6942,"PSYCHOLOGY, EXPERIMENTAL"
CLINICAL EEG AND NEUROSCIENCE,1550-0594,2169-5202,PSYCHOLOGY
Journal for Specialists in Group Work,0193-3922,1549-6295,"PSYCHOLOGY, CLINICAL"
Empirical Studies of the Arts,0276-2374,1541-4493,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF CONTEMPORARY PSYCHOTHERAPY,0022-0116,1573-3564,"PSYCHOLOGY, CLINICAL"
JOURNAL OF EARLY INTERVENTION,1053-8151,2154-3992,"PSYCHOLOGY, EDUCATIONAL"
Language Learning and Development,1547-5441,1547-3341,"PSYCHOLOGY, DEVELOPMENTAL"
Language Learning and Development,1547-5441,1547-3341,"PSYCHOLOGY, EXPERIMENTAL"
JOURNAL OF DEVELOPMENTAL AND PHYSICAL DISABILITIES,1056-263X,1573-3580,"PSYCHOLOGY, DEVELOPMENTAL"
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,0007-1102,2044-8317,"PSYCHOLOGY, EXPERIMENTAL"
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,0007-1102,2044-8317,"PSYCHOLOGY, MATHEMATICAL"
ARTS IN PSYCHOTHERAPY,0197-4556,1873-5878,"PSYCHOLOGY, CLINICAL"
ZEITSCHRIFT FUR ENTWICKLUNGSPSYCHOLOGIE UND PADAGOGISCHE PSYCHOLOGIE,0049-8637,2190-6262,"PSYCHOLOGY, EDUCATIONAL"
International Journal of Cognitive Therapy,1937-1209,1937-1217,"PSYCHOLOGY, CLINICAL"
VISION RESEARCH,0042-6989,1878-5646,PSYCHOLOGY
JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT,0734-2829,1557-5144,"PSYCHOLOGY, EDUCATIONAL"
QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,1747-0218,1747-0226,PSYCHOLOGY
QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,1747-0218,1747-0226,"PSYCHOLOGY, EXPERIMENTAL"
OMEGA-JOURNAL OF DEATH AND DYING,0030-2228,1541-3764,"PSYCHOLOGY, MULTIDISCIPLINARY"
PROFESSIONAL PSYCHOLOGY-RESEARCH AND PRACTICE,0735-7028,1939-1323,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Dual Diagnosis,1550-4263,1550-4271,"PSYCHOLOGY, CLINICAL"
International Journal of Sports Science & Coaching,1747-9541,2048-397X,"PSYCHOLOGY, APPLIED"
Psicologia-Reflexao e Critica,0102-7972,1678-7153,"PSYCHOLOGY, MULTIDISCIPLINARY"
SA Journal of Industrial Psychology,0258-5200,2071-0763,"PSYCHOLOGY, APPLIED"
JOURNAL OF PSYCHOSOCIAL ONCOLOGY,0734-7332,1540-7586,"PSYCHOLOGY, SOCIAL"
BEHAVIOUR CHANGE,0813-4839,2049-7768,"PSYCHOLOGY, CLINICAL"
Sexual and Relationship Therapy,1468-1994,1468-1749,"PSYCHOLOGY, CLINICAL"
EMOTIONAL AND BEHAVIOURAL DIFFICULTIES,1363-2752,1741-2692,"PSYCHOLOGY, EDUCATIONAL"
Language Assessment Quarterly,1543-4303,1543-4311,"PSYCHOLOGY, EDUCATIONAL"
JOURNAL OF LITERACY RESEARCH,1086-296X,1554-8430,"PSYCHOLOGY, EDUCATIONAL"
JOURNAL OF POSITIVE BEHAVIOR INTERVENTIONS,1098-3007,1538-4772,"PSYCHOLOGY, CLINICAL"
Psychiatry Psychology and Law,1321-8719,1934-1687,"PSYCHOLOGY, MULTIDISCIPLINARY"
Research in Human Development,1542-7609,1542-7617,"PSYCHOLOGY, DEVELOPMENTAL"
PHILOSOPHICAL PSYCHOLOGY,0951-5089,1465-394X,"PSYCHOLOGY, MULTIDISCIPLINARY"
Psychology of Consciousness-Theory Research and Practice,2326-5523,2326-5531,"PSYCHOLOGY, EXPERIMENTAL"
Anales de Psicologia,0212-9728,1695-2294,PSYCHOLOGY
Anales de Psicologia,0212-9728,1695-2294,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Clinical Sport Psychology,1932-9261,1932-927X,"PSYCHOLOGY, APPLIED"
JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,0022-5002,1938-3711,"PSYCHOLOGY, BIOLOGICAL"
JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,0022-5002,1938-3711,"PSYCHOLOGY, EXPERIMENTAL"
Spirituality in Clinical Practice,2326-4500,2326-4519,"PSYCHOLOGY, CLINICAL"
COUNSELOR EDUCATION AND SUPERVISION,0011-0035,1556-6978,"PSYCHOLOGY, APPLIED"
Journal of Child Sexual Abuse,1053-8712,1547-0679,"PSYCHOLOGY, CLINICAL"
RESEARCH QUARTERLY FOR EXERCISE AND SPORT,0270-1367,2168-3824,PSYCHOLOGY
RESEARCH QUARTERLY FOR EXERCISE AND SPORT,0270-1367,2168-3824,"PSYCHOLOGY, APPLIED"
Evolutionary Psychological Science,N/A,2198-9885,"PSYCHOLOGY, MULTIDISCIPLINARY"
MEASUREMENT AND EVALUATION IN COUNSELING AND DEVELOPMENT,0748-1756,1947-6302,"PSYCHOLOGY, APPLIED"
MEASUREMENT AND EVALUATION IN COUNSELING AND DEVELOPMENT,0748-1756,1947-6302,"PSYCHOLOGY, EDUCATIONAL"
JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,0021-8308,1468-5914,"PSYCHOLOGY, SOCIAL"
JOURNAL OF EDUCATIONAL MEASUREMENT,0022-0655,1745-3984,"PSYCHOLOGY, APPLIED"
JOURNAL OF EDUCATIONAL MEASUREMENT,0022-0655,1745-3984,"PSYCHOLOGY, EDUCATIONAL"
JOURNAL OF EDUCATIONAL MEASUREMENT,0022-0655,1745-3984,"PSYCHOLOGY, MATHEMATICAL"
PSYCHOLOGISCHE RUNDSCHAU,0033-3042,2190-6238,"PSYCHOLOGY, MULTIDISCIPLINARY"
Applied Neuropsychology-Adult,2327-9095,2327-9109,PSYCHOLOGY
Australian Journal of Career Development,1038-4162,2200-6974,"PSYCHOLOGY, APPLIED"
EXPERIMENTAL AGING RESEARCH,0361-073X,1096-4657,PSYCHOLOGY
INTERNATIONAL JOURNAL OF MENTAL HEALTH,0020-7411,1557-9328,"PSYCHOLOGY, CLINICAL"
PERCEPTUAL AND MOTOR SKILLS,0031-5125,1558-688X,"PSYCHOLOGY, EXPERIMENTAL"
PSYCHOLOGICAL STUDIES,0033-2968,0974-9861,"PSYCHOLOGY, MULTIDISCIPLINARY"
Applied Neuropsychology-Child,2162-2965,2162-2973,PSYCHOLOGY
Timing & Time Perception,2213-445X,2213-4468,"PSYCHOLOGY, EXPERIMENTAL"
MUSIC PERCEPTION,0730-7829,N/A,"PSYCHOLOGY, EXPERIMENTAL"
Advances in Neurodevelopmental Disorders,2366-7532,2366-7540,"PSYCHOLOGY, DEVELOPMENTAL"
CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT,0008-400X,1879-2669,"PSYCHOLOGY, MULTIDISCIPLINARY"
European Journal of Health Psychology,2512-8442,2512-8450,"PSYCHOLOGY, CLINICAL"
INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY,0306-624X,1552-6933,"PSYCHOLOGY, APPLIED"
Behavioural Processes,0376-6357,1872-8308,"PSYCHOLOGY, BIOLOGICAL"
JOURNAL OF HUMANISTIC PSYCHOLOGY,0022-1678,1552-650X,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Sport Psychology in Action,2152-0704,2152-0712,"PSYCHOLOGY, APPLIED"
JOURNAL OF PSYCHOPATHOLOGY AND BEHAVIORAL ASSESSMENT,0882-2689,1573-3505,"PSYCHOLOGY, CLINICAL"
PsyCh Journal,2046-0252,2046-0260,"PSYCHOLOGY, MULTIDISCIPLINARY"
Acta Psychologica Sinica,0439-755X,N/A,"PSYCHOLOGY, MULTIDISCIPLINARY"
EUROPEAN REVIEW OF APPLIED PSYCHOLOGY-REVUE EUROPEENNE DE PSYCHOLOGIE APPLIQUEE,1162-9088,1162-9088,"PSYCHOLOGY, APPLIED"
Journal of Cultural Cognitive Science,2520-100X,2520-1018,"PSYCHOLOGY, EXPERIMENTAL"
Art Therapy,0742-1656,2159-9394,"PSYCHOLOGY, CLINICAL"
First Language,0142-7237,1740-2344,"PSYCHOLOGY, DEVELOPMENTAL"
Focus on Autism and Other Developmental Disabilities,1088-3576,1538-4829,"PSYCHOLOGY, DEVELOPMENTAL"
HUMOR-INTERNATIONAL JOURNAL OF HUMOR RESEARCH,0933-1719,1613-3722,"PSYCHOLOGY, MULTIDISCIPLINARY"
Counselling & Psychotherapy Research,1473-3145,1746-1405,"PSYCHOLOGY, CLINICAL"
JOURNAL OF NEUROLINGUISTICS,0911-6044,1873-8052,"PSYCHOLOGY, EXPERIMENTAL"
Sexes,N/A,2411-5118,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,2329-8456,2329-8464,PSYCHOLOGY
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,2329-8456,2329-8464,"PSYCHOLOGY, BIOLOGICAL"
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,2329-8456,2329-8464,"PSYCHOLOGY, EXPERIMENTAL"
JOURNAL OF NONVERBAL BEHAVIOR,0191-5886,1573-3653,"PSYCHOLOGY, SOCIAL"
Social Psychology,1864-9335,2151-2590,"PSYCHOLOGY, SOCIAL"
ADAPTIVE BEHAVIOR,1059-7123,1741-2633,"PSYCHOLOGY, EXPERIMENTAL"
INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT,0091-4150,1541-3535,"PSYCHOLOGY, DEVELOPMENTAL"
SOCIAL COGNITION,0278-016X,N/A,"PSYCHOLOGY, SOCIAL"
AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV,0954-0121,1360-0451,"PSYCHOLOGY, MULTIDISCIPLINARY"
Clinical Psychologist,1328-4207,1742-9552,PSYCHOLOGY
Clinical Psychologist,1328-4207,1742-9552,"PSYCHOLOGY, CLINICAL"
International Journal of Psychological Research,2011-7922,2011-2084,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Individual Differences,1614-0001,2151-2299,"PSYCHOLOGY, SOCIAL"
AMERICAN JOURNAL OF CLINICAL HYPNOSIS,0002-9157,2160-0562,"PSYCHOLOGY, CLINICAL"
Clinical Practice in Pediatric Psychology,2169-4826,2169-4834,"PSYCHOLOGY, CLINICAL"
Clinical Practice in Pediatric Psychology,2169-4826,2169-4834,"PSYCHOLOGY, DEVELOPMENTAL"
Adaptive Human Behavior and Physiology,2198-7335,2198-7335,"PSYCHOLOGY, BIOLOGICAL"
European Journal of Education and Psychology,1888-8992,1989-2209,"PSYCHOLOGY, EDUCATIONAL"
HISPANIC JOURNAL OF BEHAVIORAL SCIENCES,0739-9863,1552-6364,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Cognitive Psychology,2044-5911,2044-592X,"PSYCHOLOGY, EXPERIMENTAL"
Reading Psychology,0270-2711,1521-0685,"PSYCHOLOGY, EDUCATIONAL"
Psychosis-Psychological Social and Integrative Approaches,1752-2439,1752-2447,"PSYCHOLOGY, CLINICAL"
Psychology Society & Education,2171-2085,1989-709X,"PSYCHOLOGY, MULTIDISCIPLINARY"
MERRILL-PALMER QUARTERLY-JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,0272-930X,1535-0266,"PSYCHOLOGY, DEVELOPMENTAL"
Language and Cognition,1866-9808,1866-9859,"PSYCHOLOGY, EXPERIMENTAL"
PSYCHOLOGY CRIME & LAW,1068-316X,1477-2744,"PSYCHOLOGY, MULTIDISCIPLINARY"
WOMEN & THERAPY,0270-3149,1541-0315,"PSYCHOLOGY, MULTIDISCIPLINARY"
Infants & Young Children,0896-3746,1550-5081,"PSYCHOLOGY, DEVELOPMENTAL"
History of Psychology,1093-4510,1939-0610,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF COMPARATIVE PSYCHOLOGY,0735-7036,1939-2087,PSYCHOLOGY
JOURNAL OF COMPARATIVE PSYCHOLOGY,0735-7036,1939-2087,"PSYCHOLOGY, MULTIDISCIPLINARY"
LANGUAGE AND SPEECH,0023-8309,1756-6053,"PSYCHOLOGY, EXPERIMENTAL"
Human Arenas,2522-5790,2522-5804,"PSYCHOLOGY, MULTIDISCIPLINARY"
Evolutionary Behavioral Sciences,2330-2925,2330-2933,PSYCHOLOGY
Journal of Applied School Psychology,1537-7903,1537-7911,"PSYCHOLOGY, EDUCATIONAL"
APPLIED MEASUREMENT IN EDUCATION,0895-7347,1532-4818,"PSYCHOLOGY, EDUCATIONAL"
APPLIED MEASUREMENT IN EDUCATION,0895-7347,1532-4818,"PSYCHOLOGY, MATHEMATICAL"
JOURNAL OF FAMILY THERAPY,0163-4445,1467-6427,"PSYCHOLOGY, CLINICAL"
KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND SOZIALPSYCHOLOGIE,0023-2653,1861-891X,"PSYCHOLOGY, SOCIAL"
