Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected JIF Quartile: Q1;Q2 Indicator: Default,,,
,,,
Journal name,ISSN,eISSN,Category
JOURNAL OF MANAGEMENT,0149-2063,1557-1211,"PSYCHOLOGY, APPLIED"
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,0890-8567,1527-5418,"PSYCHOLOGY, DEVELOPMENTAL"
LEADERSHIP QUARTERLY,1048-9843,1873-3409,"PSYCHOLOGY, APPLIED"
COMPUTERS IN HUMAN BEHAVIOR,0747-5632,1873-7692,"PSYCHOLOGY, EXPERIMENTAL"
COMPUTERS IN HUMAN BEHAVIOR,0747-5632,1873-7692,"PSYCHOLOGY, MULTIDISCIPLINARY"
ORGANIZATIONAL RESEARCH METHODS,1094-4281,1552-7425,"PSYCHOLOGY, APPLIED"
PSYCHOLOGY & MARKETING,0742-6046,1520-6793,"PSYCHOLOGY, APPLIED"
Qualitative Research in Sport Exercise and Health,2159-676X,2159-6778,"PSYCHOLOGY, APPLIED"
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,1088-8683,1532-7957,"PSYCHOLOGY, SOCIAL"
European Journal of Psychology Applied to Legal Context,1889-1861,1989-4007,"PSYCHOLOGY, MULTIDISCIPLINARY"
PSYCHOLOGICAL METHODS,1082-989X,1939-1463,"PSYCHOLOGY, MULTIDISCIPLINARY"
CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,0963-7214,1467-8721,"PSYCHOLOGY, MULTIDISCIPLINARY"
Social Issues and Policy Review,1751-2395,1751-2409,"PSYCHOLOGY, SOCIAL"
PSYCHOLOGICAL INQUIRY,1047-840X,1532-7965,"PSYCHOLOGY, MULTIDISCIPLINARY"
Child and Adolescent Mental Health,1475-357X,1475-3588,"PSYCHOLOGY, CLINICAL"
Health Psychology Review,1743-7199,1743-7202,"PSYCHOLOGY, CLINICAL"
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,0021-9630,1469-7610,PSYCHOLOGY
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,0021-9630,1469-7610,"PSYCHOLOGY, DEVELOPMENTAL"
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,0022-3514,1939-1315,"PSYCHOLOGY, SOCIAL"
International Review of Sport and Exercise Psychology,1750-984X,1750-9858,"PSYCHOLOGY, APPLIED"
JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,0022-1465,2150-6000,"PSYCHOLOGY, SOCIAL"
Current Opinion in Psychology,2352-250X,2352-2518,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF ORGANIZATIONAL BEHAVIOR,0894-3796,1099-1379,"PSYCHOLOGY, APPLIED"
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,0272-4944,1522-9610,"PSYCHOLOGY, MULTIDISCIPLINARY"
EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,1018-8827,1435-165X,"PSYCHOLOGY, DEVELOPMENTAL"
HUMAN RESOURCE MANAGEMENT,0090-4848,1099-050X,"PSYCHOLOGY, APPLIED"
PSYCHOLOGICAL MEDICINE,0033-2917,1469-8978,PSYCHOLOGY
PSYCHOLOGICAL MEDICINE,0033-2917,1469-8978,"PSYCHOLOGY, CLINICAL"
Journal of Occupational Health Psychology,1076-8998,1939-1307,"PSYCHOLOGY, APPLIED"
DEVELOPMENTAL REVIEW,0273-2297,1090-2406,"PSYCHOLOGY, DEVELOPMENTAL"
JOURNAL OF EDUCATIONAL PSYCHOLOGY,0022-0663,1939-2176,"PSYCHOLOGY, EDUCATIONAL"
WORK AND STRESS,0267-8373,1464-5335,"PSYCHOLOGY, APPLIED"
Journal of Adolescent Health,1054-139X,1879-1972,"PSYCHOLOGY, DEVELOPMENTAL"
CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,1096-4037,1573-2827,"PSYCHOLOGY, CLINICAL"
NEUROPSYCHOLOGY REVIEW,1040-7308,1573-6660,"PSYCHOLOGY, CLINICAL"
International Journal of Clinical and Health Psychology,1697-2600,1576-7329,"PSYCHOLOGY, CLINICAL"
Autism Research,1939-3792,1939-3806,"PSYCHOLOGY, DEVELOPMENTAL"
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,1071-5819,1095-9300,"PSYCHOLOGY, MULTIDISCIPLINARY"
MULTIVARIATE BEHAVIORAL RESEARCH,0027-3171,1532-7906,"PSYCHOLOGY, EXPERIMENTAL"
JOURNAL OF VOCATIONAL BEHAVIOR,0001-8791,1095-9084,"PSYCHOLOGY, APPLIED"
Body Image,1740-1445,1873-6807,"PSYCHOLOGY, CLINICAL"
Body Image,1740-1445,1873-6807,"PSYCHOLOGY, MULTIDISCIPLINARY"
AUTISM,1362-3613,1461-7005,"PSYCHOLOGY, DEVELOPMENTAL"
ENVIRONMENT AND BEHAVIOR,0013-9165,1552-390X,"PSYCHOLOGY, MULTIDISCIPLINARY"
PSYCHOLOGICAL REVIEW,0033-295X,1939-1471,PSYCHOLOGY
PSYCHOLOGICAL REVIEW,0033-295X,1939-1471,"PSYCHOLOGY, MULTIDISCIPLINARY"
Child Development Perspectives,1750-8592,1750-8606,"PSYCHOLOGY, DEVELOPMENTAL"
Behavioural Public Policy,2398-063X,2398-0648,"PSYCHOLOGY, APPLIED"
Behavioural Public Policy,2398-063X,2398-0648,"PSYCHOLOGY, SOCIAL"
Asian Journal of Social Health and Behavior,N/A,2772-4204,"PSYCHOLOGY, MULTIDISCIPLINARY"
APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,0269-994X,1464-0597,"PSYCHOLOGY, APPLIED"
Computers in Human Behavior Reports,2451-9588,2451-9588,"PSYCHOLOGY, EXPERIMENTAL"
Computers in Human Behavior Reports,2451-9588,2451-9588,"PSYCHOLOGY, MULTIDISCIPLINARY"
Current Opinion in Behavioral Sciences,2352-1546,2352-1554,"PSYCHOLOGY, EXPERIMENTAL"
JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY,0963-1798,2044-8325,"PSYCHOLOGY, APPLIED"
PSYCHOLOGICAL SCIENCE,0956-7976,1467-9280,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF ANXIETY DISORDERS,0887-6185,1873-7897,"PSYCHOLOGY, CLINICAL"
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,1079-5014,1758-5368,PSYCHOLOGY
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,1079-5014,1758-5368,"PSYCHOLOGY, MULTIDISCIPLINARY"
Clinical Psychological Science,2167-7026,2167-7034,PSYCHOLOGY
Clinical Psychological Science,2167-7026,2167-7034,"PSYCHOLOGY, CLINICAL"
Social and Personality Psychology Compass,N/A,1751-9004,"PSYCHOLOGY, SOCIAL"
LEARNING AND INSTRUCTION,0959-4752,1873-3263,"PSYCHOLOGY, EDUCATIONAL"
DEPRESSION AND ANXIETY,1091-4269,1520-6394,PSYCHOLOGY
DEPRESSION AND ANXIETY,1091-4269,1520-6394,"PSYCHOLOGY, CLINICAL"
INTERNATIONAL JOURNAL OF EATING DISORDERS,0276-3478,1098-108X,PSYCHOLOGY
INTERNATIONAL JOURNAL OF EATING DISORDERS,0276-3478,1098-108X,"PSYCHOLOGY, CLINICAL"
PERSONNEL PSYCHOLOGY,0031-5826,1744-6570,"PSYCHOLOGY, APPLIED"
Adolescent Research Review,2363-8346,2363-8354,"PSYCHOLOGY, DEVELOPMENTAL"
CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE,0969-5893,1468-2850,"PSYCHOLOGY, CLINICAL"
Qualitative Research in Psychology,1478-0887,1478-0895,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF RESEARCH ON ADOLESCENCE,1050-8392,1532-7795,"PSYCHOLOGY, DEVELOPMENTAL"
Behavior Research Methods,1554-351X,1554-3528,"PSYCHOLOGY, EXPERIMENTAL"
Behavior Research Methods,1554-351X,1554-3528,"PSYCHOLOGY, MATHEMATICAL"
Developmental Cognitive Neuroscience,1878-9293,1878-9307,"PSYCHOLOGY, DEVELOPMENTAL"
INTERNATIONAL PSYCHOGERIATRICS,1041-6102,1741-203X,PSYCHOLOGY
INTERNATIONAL PSYCHOGERIATRICS,1041-6102,1741-203X,"PSYCHOLOGY, CLINICAL"
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,0022-006X,1939-2117,"PSYCHOLOGY, CLINICAL"
JOURNAL OF CLINICAL PSYCHIATRY,0160-6689,1555-2101,"PSYCHOLOGY, CLINICAL"
HUMAN DEVELOPMENT,0018-716X,1423-0054,"PSYCHOLOGY, DEVELOPMENTAL"
Human Behavior and Emerging Technologies,N/A,2578-1863,"PSYCHOLOGY, MULTIDISCIPLINARY"
Social Psychological and Personality Science,1948-5506,1948-5514,"PSYCHOLOGY, SOCIAL"
COGNITIVE BEHAVIOUR THERAPY,1650-6073,1651-2316,"PSYCHOLOGY, CLINICAL"
BEHAVIOUR RESEARCH AND THERAPY,0005-7967,1873-622X,"PSYCHOLOGY, CLINICAL"
Cyberpsychology Behavior and Social Networking,2152-2715,2152-2723,"PSYCHOLOGY, SOCIAL"
JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,1537-4416,1537-4424,"PSYCHOLOGY, CLINICAL"
JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,1537-4416,1537-4424,"PSYCHOLOGY, DEVELOPMENTAL"
European Journal of Psychotraumatology,2000-8198,2000-8066,"PSYCHOLOGY, CLINICAL"
Neuroscience of Consciousness,N/A,2057-2107,"PSYCHOLOGY, BIOLOGICAL"
POLITICAL PSYCHOLOGY,0162-895X,1467-9221,"PSYCHOLOGY, SOCIAL"
JOURNAL OF SOCIAL ISSUES,0022-4537,1540-4560,"PSYCHOLOGY, SOCIAL"
GROUP PROCESSES & INTERGROUP RELATIONS,1368-4302,1461-7188,"PSYCHOLOGY, SOCIAL"
GROUP & ORGANIZATION MANAGEMENT,1059-6011,1552-3993,"PSYCHOLOGY, APPLIED"
JOURNAL OF CONSUMER PSYCHOLOGY,1057-7408,1532-7663,"PSYCHOLOGY, APPLIED"
Human Resource Development Quarterly,1044-8004,1532-1096,"PSYCHOLOGY, APPLIED"
European Journal of Work and Organizational Psychology,1359-432X,1464-0643,"PSYCHOLOGY, APPLIED"
CONTEMPORARY EDUCATIONAL PSYCHOLOGY,0361-476X,1090-2384,"PSYCHOLOGY, EDUCATIONAL"
Metacognition and Learning,1556-1623,1556-1631,"PSYCHOLOGY, EDUCATIONAL"
READING RESEARCH QUARTERLY,0034-0553,1936-2722,"PSYCHOLOGY, EDUCATIONAL"
CHILD DEVELOPMENT,0009-3920,1467-8624,"PSYCHOLOGY, DEVELOPMENTAL"
CHILD DEVELOPMENT,0009-3920,1467-8624,"PSYCHOLOGY, EDUCATIONAL"
Social Cognitive and Affective Neuroscience,1749-5016,1749-5024,PSYCHOLOGY
Social Cognitive and Affective Neuroscience,1749-5016,1749-5024,"PSYCHOLOGY, EXPERIMENTAL"
EUROPEAN PSYCHOLOGIST,1016-9040,1878-531X,"PSYCHOLOGY, MULTIDISCIPLINARY"
SCHOOL PSYCHOLOGY REVIEW,N/A,2372-966X,"PSYCHOLOGY, EDUCATIONAL"
Organizational Psychology Review,2041-3866,2041-3874,"PSYCHOLOGY, APPLIED"
School Psychology,2578-4218,2578-4226,"PSYCHOLOGY, EDUCATIONAL"
EUROPEAN EATING DISORDERS REVIEW,1072-4133,1099-0968,"PSYCHOLOGY, CLINICAL"
Revista de Psicodidactica,1136-1034,2254-4372,"PSYCHOLOGY, EDUCATIONAL"
Applied Psychology-Health and Well Being,1758-0846,1758-0854,"PSYCHOLOGY, APPLIED"
JOURNAL OF SCHOOL PSYCHOLOGY,0022-4405,1873-3506,"PSYCHOLOGY, EDUCATIONAL"
LEARNING AND INDIVIDUAL DIFFERENCES,1041-6080,1873-3425,"PSYCHOLOGY, EDUCATIONAL"
JOURNAL OF COUNSELING PSYCHOLOGY,0022-0167,1939-2168,"PSYCHOLOGY, APPLIED"
JOURNAL OF COUNSELING PSYCHOLOGY,0022-0167,1939-2168,"PSYCHOLOGY, EDUCATIONAL"
BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,0144-6657,2044-8260,"PSYCHOLOGY, CLINICAL"
JOURNAL OF YOUTH AND ADOLESCENCE,0047-2891,1573-6601,"PSYCHOLOGY, DEVELOPMENTAL"
ADDICTIVE BEHAVIORS,0306-4603,1873-6327,"PSYCHOLOGY, CLINICAL"
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,0096-3445,1939-2222,"PSYCHOLOGY, EXPERIMENTAL"
JOURNAL OF SUBSTANCE ABUSE TREATMENT,0740-5472,1873-6483,"PSYCHOLOGY, CLINICAL"
JOURNAL OF BUSINESS AND PSYCHOLOGY,0889-3268,1573-353X,"PSYCHOLOGY, APPLIED"
PSYCHOLOGY AND AGING,0882-7974,1939-1498,"PSYCHOLOGY, DEVELOPMENTAL"
Educational Psychology,0144-3410,1469-5820,"PSYCHOLOGY, EDUCATIONAL"
EUROPEAN JOURNAL OF PERSONALITY,0890-2070,1099-0984,"PSYCHOLOGY, SOCIAL"
Psychosocial Intervention,1132-0559,2173-4712,"PSYCHOLOGY, MULTIDISCIPLINARY"
Psychology of Sexual Orientation and Gender Diversity,2329-0382,2329-0390,PSYCHOLOGY
Psychology of Sexual Orientation and Gender Diversity,2329-0382,2329-0390,"PSYCHOLOGY, MULTIDISCIPLINARY"
Neurobiology of Language,2641-4368,2641-4368,"PSYCHOLOGY, EXPERIMENTAL"
npj Science of Learning,N/A,2056-7936,"PSYCHOLOGY, EXPERIMENTAL"
ANNALS OF BEHAVIORAL MEDICINE,0883-6612,1532-4796,"PSYCHOLOGY, MULTIDISCIPLINARY"
REVIEW OF GENERAL PSYCHOLOGY,1089-2680,1939-1552,"PSYCHOLOGY, MULTIDISCIPLINARY"
Internet Interventions-The Application of Information Technology in Mental and Behavioural Health,N/A,2214-7829,"PSYCHOLOGY, CLINICAL"
AUSTRALIAN JOURNAL OF PSYCHOLOGY,0004-9530,1742-9536,"PSYCHOLOGY, MULTIDISCIPLINARY"
BRITISH JOURNAL OF HEALTH PSYCHOLOGY,1359-107X,2044-8287,"PSYCHOLOGY, CLINICAL"
PERSONALITY AND INDIVIDUAL DIFFERENCES,0191-8869,1873-3549,"PSYCHOLOGY, SOCIAL"
ASSESSMENT,1073-1911,1552-3489,"PSYCHOLOGY, CLINICAL"
TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,1369-8478,1873-5517,"PSYCHOLOGY, APPLIED"
Journal of Eating Disorders,2050-2974,2050-2974,"PSYCHOLOGY, CLINICAL"
MEDIA PSYCHOLOGY,1521-3269,1532-785X,"PSYCHOLOGY, APPLIED"
CHILD ABUSE & NEGLECT,0145-2134,1873-7757,"PSYCHOLOGY, SOCIAL"
Policy Insights from the Behavioral and Brain Sciences,2372-7322,2372-7330,"PSYCHOLOGY, MULTIDISCIPLINARY"
EMOTION,1528-3542,1931-1516,"PSYCHOLOGY, EXPERIMENTAL"
Journal of Contextual Behavioral Science,2212-1447,2212-1455,"PSYCHOLOGY, CLINICAL"
ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,0749-5978,1095-9920,"PSYCHOLOGY, APPLIED"
ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,0749-5978,1095-9920,"PSYCHOLOGY, SOCIAL"
BEHAVIOR THERAPY,0005-7894,1878-1888,"PSYCHOLOGY, CLINICAL"
Cognitive Research-Principles and Implications,2365-7464,2365-7464,"PSYCHOLOGY, EXPERIMENTAL"
Journal of Positive Psychology,1743-9760,1743-9779,"PSYCHOLOGY, MULTIDISCIPLINARY"
AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,0091-0562,1573-2770,"PSYCHOLOGY, MULTIDISCIPLINARY"
AGGRESSION AND VIOLENT BEHAVIOR,1359-1789,1873-6335,"PSYCHOLOGY, MULTIDISCIPLINARY"
PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,0146-1672,1552-7433,"PSYCHOLOGY, SOCIAL"
New Directions for Child and Adolescent Development,1520-3247,1534-8687,"PSYCHOLOGY, DEVELOPMENTAL"
Career Development International,1362-0436,1758-6003,"PSYCHOLOGY, APPLIED"
PSYCHOLOGICAL ASSESSMENT,1040-3590,1939-134X,"PSYCHOLOGY, CLINICAL"
PERSONNEL REVIEW,0048-3486,1758-6933,"PSYCHOLOGY, APPLIED"
INTELLIGENCE,0160-2896,1873-7935,"PSYCHOLOGY, MULTIDISCIPLINARY"
CORTEX,0010-9452,1973-8102,"PSYCHOLOGY, EXPERIMENTAL"
German Journal of Human Resource Management-Zeitschrift fur Personalforschung,2397-0022,2397-0030,"PSYCHOLOGY, APPLIED"
ATTACHMENT & HUMAN DEVELOPMENT,1461-6734,1469-2988,"PSYCHOLOGY, DEVELOPMENTAL"
INTERNATIONAL JOURNAL OF PSYCHOLOGY,0020-7594,1464-066X,"PSYCHOLOGY, MULTIDISCIPLINARY"
Canadian Journal of School Psychology,0829-5735,2154-3984,"PSYCHOLOGY, EDUCATIONAL"
PSYCHO-ONCOLOGY,1057-9249,1099-1611,PSYCHOLOGY
PSYCHO-ONCOLOGY,1057-9249,1099-1611,"PSYCHOLOGY, MULTIDISCIPLINARY"
International Journal of Mental Health and Addiction,1557-1874,1557-1882,"PSYCHOLOGY, CLINICAL"
EARLY CHILDHOOD RESEARCH QUARTERLY,0885-2006,1873-7706,"PSYCHOLOGY, DEVELOPMENTAL"
Cultural Diversity & Ethnic Minority Psychology,1099-9809,1939-0106,"PSYCHOLOGY, SOCIAL"
BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,0144-6665,2044-8309,"PSYCHOLOGY, SOCIAL"
BRITISH JOURNAL OF PSYCHOLOGY,0007-1269,2044-8295,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF PERSONALITY,0022-3506,1467-6494,"PSYCHOLOGY, SOCIAL"
PSICOTHEMA,0214-9915,1886-144X,"PSYCHOLOGY, MULTIDISCIPLINARY"
Social Psychology of Education,1381-2890,1573-1928,"PSYCHOLOGY, EDUCATIONAL"
PSYCHOLOGY OF ADDICTIVE BEHAVIORS,0893-164X,1939-1501,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,0022-1031,1096-0465,"PSYCHOLOGY, SOCIAL"
EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT,1015-5759,2151-2426,"PSYCHOLOGY, APPLIED"
CLINICAL PSYCHOLOGY & PSYCHOTHERAPY,1063-3995,1099-0879,"PSYCHOLOGY, CLINICAL"
PSYCHONOMIC BULLETIN & REVIEW,1069-9384,1531-5320,"PSYCHOLOGY, EXPERIMENTAL"
PSYCHONOMIC BULLETIN & REVIEW,1069-9384,1531-5320,"PSYCHOLOGY, MATHEMATICAL"
Wiley Interdisciplinary Reviews-Cognitive Science,1939-5078,1939-5086,"PSYCHOLOGY, EXPERIMENTAL"
Journal of Happiness Studies,1389-4978,1573-7780,"PSYCHOLOGY, MULTIDISCIPLINARY"
DEVELOPMENT AND PSYCHOPATHOLOGY,0954-5794,1469-2198,"PSYCHOLOGY, DEVELOPMENTAL"
BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY,0007-0998,2044-8279,"PSYCHOLOGY, EDUCATIONAL"
Collabra-Psychology,2474-7394,2474-7394,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Psychopathology and Clinical Science,2769-7541,2769-755X,"PSYCHOLOGY, CLINICAL"
DEVELOPMENTAL PSYCHOLOGY,0012-1649,1939-0599,"PSYCHOLOGY, DEVELOPMENTAL"
DEVELOPMENTAL SCIENCE,1363-755X,1467-7687,"PSYCHOLOGY, DEVELOPMENTAL"
DEVELOPMENTAL SCIENCE,1363-755X,1467-7687,"PSYCHOLOGY, EXPERIMENTAL"
HEALTH PSYCHOLOGY,0278-6133,1930-7810,PSYCHOLOGY
HEALTH PSYCHOLOGY,0278-6133,1930-7810,"PSYCHOLOGY, CLINICAL"
PSYCHOLOGY OF SPORT AND EXERCISE,1469-0292,1878-5476,PSYCHOLOGY
PSYCHOLOGY OF SPORT AND EXERCISE,1469-0292,1878-5476,"PSYCHOLOGY, APPLIED"
JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS,0162-3257,1573-3432,"PSYCHOLOGY, DEVELOPMENTAL"
STRESS AND HEALTH,1532-3005,1532-2998,PSYCHOLOGY
STRESS AND HEALTH,1532-3005,1532-2998,"PSYCHOLOGY, APPLIED"
JOURNAL OF COGNITIVE NEUROSCIENCE,0898-929X,1530-8898,"PSYCHOLOGY, EXPERIMENTAL"
APPLIED ERGONOMICS,0003-6870,1872-9126,"PSYCHOLOGY, APPLIED"
Mindfulness,1868-8527,1868-8535,"PSYCHOLOGY, CLINICAL"
Journal of Managerial Psychology,0268-3946,1758-7778,"PSYCHOLOGY, APPLIED"
ORGANIZATIONAL DYNAMICS,0090-2616,1873-3530,"PSYCHOLOGY, APPLIED"
Research in Organizational Behavior,0191-3085,0191-3085,"PSYCHOLOGY, APPLIED"
GIFTED CHILD QUARTERLY,0016-9862,1934-9041,"PSYCHOLOGY, EDUCATIONAL"
JOURNAL OF THE LEARNING SCIENCES,1050-8406,1532-7809,"PSYCHOLOGY, EDUCATIONAL"
EVOLUTION AND HUMAN BEHAVIOR,1090-5138,1879-0607,"PSYCHOLOGY, BIOLOGICAL"
RESEARCH ON LANGUAGE AND SOCIAL INTERACTION,0835-1813,1532-7973,"PSYCHOLOGY, SOCIAL"
SEX ROLES,0360-0025,1573-2762,"PSYCHOLOGY, DEVELOPMENTAL"
SEX ROLES,0360-0025,1573-2762,"PSYCHOLOGY, SOCIAL"
CLINICAL NEUROPSYCHOLOGIST,1385-4046,1744-4144,PSYCHOLOGY
CLINICAL NEUROPSYCHOLOGIST,1385-4046,1744-4144,"PSYCHOLOGY, CLINICAL"
Emotion Review,1754-0739,1754-0747,"PSYCHOLOGY, MULTIDISCIPLINARY"
Personality Disorders-Theory Research and Treatment,1949-2715,1949-2723,"PSYCHOLOGY, CLINICAL"
JOURNAL OF ADOLESCENCE,0140-1971,1095-9254,"PSYCHOLOGY, DEVELOPMENTAL"
COGNITIVE PSYCHOLOGY,0010-0285,1095-5623,PSYCHOLOGY
COGNITIVE PSYCHOLOGY,0010-0285,1095-5623,"PSYCHOLOGY, EXPERIMENTAL"
Motivation Science,2333-8113,2333-8121,"PSYCHOLOGY, MULTIDISCIPLINARY"
European Journal of Investigation in Health Psychology and Education,N/A,2254-9625,"PSYCHOLOGY, CLINICAL"
Eating Disorders,1064-0266,1532-530X,PSYCHOLOGY
Eating Disorders,1064-0266,1532-530X,"PSYCHOLOGY, CLINICAL"
SMALL GROUP RESEARCH,1046-4964,1552-8278,"PSYCHOLOGY, APPLIED"
SMALL GROUP RESEARCH,1046-4964,1552-8278,"PSYCHOLOGY, SOCIAL"
JOURNAL OF MEMORY AND LANGUAGE,0749-596X,1096-0821,PSYCHOLOGY
JOURNAL OF MEMORY AND LANGUAGE,0749-596X,1096-0821,"PSYCHOLOGY, EXPERIMENTAL"
ARCHIVES OF SEXUAL BEHAVIOR,0004-0002,1573-2800,"PSYCHOLOGY, CLINICAL"
SCIENTIFIC STUDIES OF READING,1088-8438,1532-799X,"PSYCHOLOGY, EDUCATIONAL"
CANADIAN PSYCHOLOGY-PSYCHOLOGIE CANADIENNE,0708-5591,1878-7304,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Applied Research in Memory and Cognition,2211-3681,2211-369X,"PSYCHOLOGY, EXPERIMENTAL"
Topics in Cognitive Science,1756-8757,1756-8765,"PSYCHOLOGY, EXPERIMENTAL"
PSYCHOMETRIKA,0033-3123,1860-0980,"PSYCHOLOGY, MATHEMATICAL"
PSYCHOPHYSIOLOGY,0048-5772,1469-8986,PSYCHOLOGY
PSYCHOPHYSIOLOGY,0048-5772,1469-8986,"PSYCHOLOGY, BIOLOGICAL"
PSYCHOPHYSIOLOGY,0048-5772,1469-8986,"PSYCHOLOGY, EXPERIMENTAL"
Research on Child and Adolescent Psychopathology,2730-7166,2730-7174,"PSYCHOLOGY, CLINICAL"
