journal_name,category,rank,source,issn_type,issn
clinical psychological science,PSYCHOLOGY,87,psych1,issn,2167-7026
clinical psychological science,PSYCHOLOGY,87,psych1,e_issn,2167-7034
social and personality psychology compass,"PSYCHOLOGY, SOCIAL",89,psych1,e_issn,1751-9004
learning and instruction,"PSYCHOLOGY, EDUCATIONAL",90,psych1,issn,0959-4752
learning and instruction,"PSYCHOLOGY, EDUCATIONAL",90,psych1,e_issn,1873-3263
depression and anxiety,PSYCHOLOGY,91,psych1,issn,1091-4269
depression and anxiety,PSYCHOLOGY,91,psych1,e_issn,1520-6394
international journal of eating disorders,PSYCHOLOGY,93,psych1,issn,0276-3478
international journal of eating disorders,PSYCHOLOGY,93,psych1,e_issn,1098-108X
personnel psychology,"PSYCHOLOGY, APPLIED",95,psych1,issn,0031-5826
personnel psychology,"PSYCHOLOGY, APPLIED",95,psych1,e_issn,1744-6570
clinical psychology-science and practice,"PSYCHOLOGY, CLINICAL",97,psych1,issn,0969-5893
clinical psychology-science and practice,"PSYCHOLOGY, CLINICAL",97,psych1,e_issn,1468-2850
qualitative research in psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",98,psych1,issn,1478-0887
qualitative research in psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",98,psych1,e_issn,1478-0895
journal of research on adolescence,"PSYCHOLOGY, DEVELOPMENTAL",99,psych1,issn,1050-8392
journal of research on adolescence,"PSYCHOLOGY, DEVELOPMENTAL",99,psych1,e_issn,1532-7795
behavior research methods,"PSYCHOLOGY, EXPERIMENTAL",100,psych1,issn,1554-351X
behavior research methods,"PSYCHOLOGY, EXPERIMENTAL",100,psych1,e_issn,1554-3528
developmental cognitive neuroscience,"PSYCHOLOGY, DEVELOPMENTAL",102,psych1,issn,1878-9293
developmental cognitive neuroscience,"PSYCHOLOGY, DEVELOPMENTAL",102,psych1,e_issn,1878-9307
international psychogeriatrics,PSYCHOLOGY,103,psych1,issn,1041-6102
international psychogeriatrics,PSYCHOLOGY,103,psych1,e_issn,1741-203X
journal of consulting and clinical psychology,"PSYCHOLOGY, CLINICAL",105,psych1,issn,0022-006X
journal of consulting and clinical psychology,"PSYCHOLOGY, CLINICAL",105,psych1,e_issn,1939-2117
journal of clinical psychiatry,"PSYCHOLOGY, CLINICAL",106,psych1,issn,0160-6689
journal of clinical psychiatry,"PSYCHOLOGY, CLINICAL",106,psych1,e_issn,1555-2101
human development,"PSYCHOLOGY, DEVELOPMENTAL",107,psych1,issn,0018-716X
human development,"PSYCHOLOGY, DEVELOPMENTAL",107,psych1,e_issn,1423-0054
human behavior and emerging technologies,"PSYCHOLOGY, MULTIDISCIPLINARY",108,psych1,e_issn,2578-1863
social psychological and personality science,"PSYCHOLOGY, SOCIAL",109,psych1,issn,1948-5506
social psychological and personality science,"PSYCHOLOGY, SOCIAL",109,psych1,e_issn,1948-5514
cognitive behaviour therapy,"PSYCHOLOGY, CLINICAL",110,psych1,issn,1650-6073
cognitive behaviour therapy,"PSYCHOLOGY, CLINICAL",110,psych1,e_issn,1651-2316
behaviour research and therapy,"PSYCHOLOGY, CLINICAL",111,psych1,issn,0005-7967
behaviour research and therapy,"PSYCHOLOGY, CLINICAL",111,psych1,e_issn,1873-622X
cyberpsychology behavior and social networking,"PSYCHOLOGY, SOCIAL",112,psych1,issn,2152-2715
cyberpsychology behavior and social networking,"PSYCHOLOGY, SOCIAL",112,psych1,e_issn,2152-2723
journal of clinical child and adolescent psychology,"PSYCHOLOGY, CLINICAL",113,psych1,issn,1537-4416
journal of clinical child and adolescent psychology,"PSYCHOLOGY, CLINICAL",113,psych1,e_issn,1537-4424
european journal of psychotraumatology,"PSYCHOLOGY, CLINICAL",115,psych1,issn,2000-8198
european journal of psychotraumatology,"PSYCHOLOGY, CLINICAL",115,psych1,e_issn,2000-8066
neuroscience of consciousness,"PSYCHOLOGY, BIOLOGICAL",116,psych1,e_issn,2057-2107
political psychology,"PSYCHOLOGY, SOCIAL",117,psych1,issn,0162-895X
political psychology,"PSYCHOLOGY, SOCIAL",117,psych1,e_issn,1467-9221
journal of social issues,"PSYCHOLOGY, SOCIAL",118,psych1,issn,0022-4537
journal of social issues,"PSYCHOLOGY, SOCIAL",118,psych1,e_issn,1540-4560
group processes & intergroup relations,"PSYCHOLOGY, SOCIAL",119,psych1,issn,1368-4302
group processes & intergroup relations,"PSYCHOLOGY, SOCIAL",119,psych1,e_issn,1461-7188
group & organization management,"PSYCHOLOGY, APPLIED",120,psych1,issn,1059-6011
group & organization management,"PSYCHOLOGY, APPLIED",120,psych1,e_issn,1552-3993
journal of consumer psychology,"PSYCHOLOGY, APPLIED",121,psych1,issn,1057-7408
journal of consumer psychology,"PSYCHOLOGY, APPLIED",121,psych1,e_issn,1532-7663
human resource development quarterly,"PSYCHOLOGY, APPLIED",122,psych1,issn,1044-8004
human resource development quarterly,"PSYCHOLOGY, APPLIED",122,psych1,e_issn,1532-1096
european journal of work and organizational psychology,"PSYCHOLOGY, APPLIED",123,psych1,issn,1359-432X
european journal of work and organizational psychology,"PSYCHOLOGY, APPLIED",123,psych1,e_issn,1464-0643
contemporary educational psychology,"PSYCHOLOGY, EDUCATIONAL",124,psych1,issn,0361-476X
contemporary educational psychology,"PSYCHOLOGY, EDUCATIONAL",124,psych1,e_issn,1090-2384
metacognition and learning,"PSYCHOLOGY, EDUCATIONAL",125,psych1,issn,1556-1623
metacognition and learning,"PSYCHOLOGY, EDUCATIONAL",125,psych1,e_issn,1556-1631
reading research quarterly,"PSYCHOLOGY, EDUCATIONAL",126,psych1,issn,0034-0553
reading research quarterly,"PSYCHOLOGY, EDUCATIONAL",126,psych1,e_issn,1936-2722
child development,"PSYCHOLOGY, DEVELOPMENTAL",127,psych1,issn,0009-3920
child development,"PSYCHOLOGY, DEVELOPMENTAL",127,psych1,e_issn,1467-8624
social cognitive and affective neuroscience,PSYCHOLOGY,129,psych1,issn,1749-5016
social cognitive and affective neuroscience,PSYCHOLOGY,129,psych1,e_issn,1749-5024
european psychologist,"PSYCHOLOGY, MULTIDISCIPLINARY",131,psych1,issn,1016-9040
european psychologist,"PSYCHOLOGY, MULTIDISCIPLINARY",131,psych1,e_issn,1878-531X
school psychology,"PSYCHOLOGY, EDUCATIONAL",134,psych1,issn,2578-4218
school psychology,"PSYCHOLOGY, EDUCATIONAL",134,psych1,e_issn,2578-4226
revista de psicodidactica,"PSYCHOLOGY, EDUCATIONAL",136,psych1,issn,1136-1034
revista de psicodidactica,"PSYCHOLOGY, EDUCATIONAL",136,psych1,e_issn,2254-4372
applied psychology-health and well being,"PSYCHOLOGY, APPLIED",137,psych1,issn,1758-0846
applied psychology-health and well being,"PSYCHOLOGY, APPLIED",137,psych1,e_issn,1758-0854
journal of school psychology,"PSYCHOLOGY, EDUCATIONAL",138,psych1,issn,0022-4405
journal of school psychology,"PSYCHOLOGY, EDUCATIONAL",138,psych1,e_issn,1873-3506
learning and individual differences,"PSYCHOLOGY, EDUCATIONAL",139,psych1,issn,1041-6080
learning and individual differences,"PSYCHOLOGY, EDUCATIONAL",139,psych1,e_issn,1873-3425
journal of counseling psychology,"PSYCHOLOGY, APPLIED",140,psych1,issn,0022-0167
journal of counseling psychology,"PSYCHOLOGY, APPLIED",140,psych1,e_issn,1939-2168
british journal of clinical psychology,"PSYCHOLOGY, CLINICAL",142,psych1,issn,0144-6657
british journal of clinical psychology,"PSYCHOLOGY, CLINICAL",142,psych1,e_issn,2044-8260
journal of youth and adolescence,"PSYCHOLOGY, DEVELOPMENTAL",143,psych1,issn,0047-2891
journal of youth and adolescence,"PSYCHOLOGY, DEVELOPMENTAL",143,psych1,e_issn,1573-6601
addictive behaviors,"PSYCHOLOGY, CLINICAL",144,psych1,issn,0306-4603
addictive behaviors,"PSYCHOLOGY, CLINICAL",144,psych1,e_issn,1873-6327
journal of experimental psychology-general,"PSYCHOLOGY, EXPERIMENTAL",145,psych1,issn,0096-3445
journal of experimental psychology-general,"PSYCHOLOGY, EXPERIMENTAL",145,psych1,e_issn,1939-2222
journal of substance abuse treatment,"PSYCHOLOGY, CLINICAL",146,psych1,issn,0740-5472
journal of substance abuse treatment,"PSYCHOLOGY, CLINICAL",146,psych1,e_issn,1873-6483
journal of business and psychology,"PSYCHOLOGY, APPLIED",147,psych1,issn,0889-3268
journal of business and psychology,"PSYCHOLOGY, APPLIED",147,psych1,e_issn,1573-353X
psychology and aging,"PSYCHOLOGY, DEVELOPMENTAL",148,psych1,issn,0882-7974
psychology and aging,"PSYCHOLOGY, DEVELOPMENTAL",148,psych1,e_issn,1939-1498
educational psychology,"PSYCHOLOGY, EDUCATIONAL",149,psych1,issn,0144-3410
educational psychology,"PSYCHOLOGY, EDUCATIONAL",149,psych1,e_issn,1469-5820
european journal of personality,"PSYCHOLOGY, SOCIAL",150,psych1,issn,0890-2070
european journal of personality,"PSYCHOLOGY, SOCIAL",150,psych1,e_issn,1099-0984
psychosocial intervention,"PSYCHOLOGY, MULTIDISCIPLINARY",151,psych1,issn,1132-0559
